Subject,pred,gold,Is_Correct,Model
abstract_algebra,D,B,0,Qwen3.5-9B
abstract_algebra,A,C,0,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,D,B,0,Qwen3.5-9B
abstract_algebra,B,B,1,Qwen3.5-9B
abstract_algebra,C,A,0,Qwen3.5-9B
abstract_algebra,C,A,0,Qwen3.5-9B
abstract_algebra,C,D,0,Qwen3.5-9B
abstract_algebra,B,B,1,Qwen3.5-9B
abstract_algebra,D,C,0,Qwen3.5-9B
abstract_algebra,A,C,0,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,D,A,0,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,A,B,0,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,A,A,1,Qwen3.5-9B
abstract_algebra,C,A,0,Qwen3.5-9B
abstract_algebra,B,A,0,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,A,B,0,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,D,B,0,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,A,A,1,Qwen3.5-9B
abstract_algebra,D,B,0,Qwen3.5-9B
abstract_algebra,B,B,1,Qwen3.5-9B
abstract_algebra,A,A,1,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,D,A,0,Qwen3.5-9B
abstract_algebra,D,B,0,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,D,B,0,Qwen3.5-9B
abstract_algebra,B,C,0,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,B,A,0,Qwen3.5-9B
abstract_algebra,C,B,0,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,B,C,0,Qwen3.5-9B
abstract_algebra,C,B,0,Qwen3.5-9B
abstract_algebra,C,B,0,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,D,B,0,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,C,B,0,Qwen3.5-9B
abstract_algebra,D,A,0,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,B,B,1,Qwen3.5-9B
abstract_algebra,C,A,0,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,B,B,1,Qwen3.5-9B
abstract_algebra,A,A,1,Qwen3.5-9B
abstract_algebra,A,A,1,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,A,C,0,Qwen3.5-9B
abstract_algebra,D,B,0,Qwen3.5-9B
abstract_algebra,A,B,0,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,A,A,1,Qwen3.5-9B
abstract_algebra,C,A,0,Qwen3.5-9B
abstract_algebra,C,D,0,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,B,B,1,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,B,B,1,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,A,A,1,Qwen3.5-9B
abstract_algebra,D,D,1,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,B,B,1,Qwen3.5-9B
abstract_algebra,A,D,0,Qwen3.5-9B
abstract_algebra,A,A,1,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
abstract_algebra,C,D,0,Qwen3.5-9B
abstract_algebra,C,C,1,Qwen3.5-9B
